excluded_country,const,log_HCI,log_GFCF,Political stability — estimate,Rule of law index,log_Production_Value,Forestry rents (% of GDP),Trade (% of GDP),log_HCI_x_log_Production,log_GFCF_x_log_Production,log_HCI_x_forestry_rents,log_GFCF_x_forestry_rents,ECI_lag1
MYS,-0.5062278506624615,0.24845828095684286,0.036482398389173595,0.015271134631462686,0.06273979747130501,-0.005649838419996958,-0.007024540959832119,-0.00030518065237975563,0.03135313133629955,0.011046221572240517,-0.036697175844738944,0.007559698373875091,0.7849558713511879
NER,-0.5363284481287312,0.2683219450677657,0.03635146852973446,0.011988688879251079,0.05548343559127701,-0.008550229522841592,-0.005069467012846161,0.0003370724948481077,0.037661274634741074,0.009540395041274553,-0.02585786527395746,0.006747224705947113,0.8113464047538228
NGA,-0.5438689671418648,0.26952689508388217,0.03693998848105516,0.009400900247596135,0.06208409255844918,-0.00824524857560793,-0.005346802812324995,0.0002963314823167052,0.041499104647667526,0.009320307818624047,-0.024129029560356632,0.006583711881689654,0.8053381024438249
OMN,-0.5418051667737773,0.27004365238640016,0.036403724573542205,0.01252025281427449,0.05953653255091222,-0.008369740141115013,-0.005109488519822275,0.00032248597497136104,0.04128913333350642,0.009365463158391365,-0.024552705376914563,0.006489374704193232,0.8079267858397055
PNG,-0.556480240855785,0.28144913372258634,0.03840496342002105,0.010716720754857724,0.056278977870046765,-0.008976990425906033,-0.005122286259285487,0.00031109574148197874,0.04235626093061298,0.010176384934253086,-0.02522681993340195,0.007217032716861268,0.8083779273151063
QAT,-0.5485935010364112,0.275895921624433,0.03629836463185205,0.011331342508387063,0.05836455265272598,-0.008560137829232133,-0.005027420795733936,0.00032861911544483657,0.044915253102794095,0.008849048505117967,-0.02346019899098381,0.00639999948518153,0.8081530411690243
RUS,-0.5350960315801812,0.24036805336113792,0.038587383731973256,0.017441491922494043,0.0736001519355346,-0.00907939132324917,-0.005260856288953463,0.000446411111423315,0.032655386633979794,0.010953502193427772,-0.02494095516212959,0.006482115188369698,0.7937023978336397
RWA,-0.5381100222551657,0.27109211912662223,0.03547030362492511,0.010637992732370677,0.059143015077983065,-0.008929336186231887,-0.005107523105775941,0.00032836803555223823,0.045125908905646724,0.009922678015398081,-0.023231013619012947,0.00653180464389745,0.8097041491426746
SAU,-0.5788186544758915,0.2941020218294983,0.03860353816813479,0.012182537893053597,0.07445475906934712,-0.012479913144668703,-0.005882632379284554,0.0004581752046224516,0.03597514184171975,0.008185624745537141,-0.027814627857724983,0.006361469583808166,0.7942582807222711
TCD,-0.48733884814278844,0.23054717107146322,0.03570096706744413,0.011770133637981815,0.05795383952581944,-0.0052034815857005395,-0.00423852629358151,0.0001965411799063504,0.017379485792325594,0.008727860395396964,-0.025648199969078522,0.0066490852258587725,0.8237219982747696
TGO,-0.5484404273030696,0.2750998892061054,0.03647964346234916,0.011254312411206668,0.06054572341509128,-0.00879323487857406,-0.005300485088992767,0.00033329638855195923,0.04265855917894394,0.009149785119707408,-0.024784107294172297,0.0064188088063773015,0.8069893533596981
TTO,-0.5679942406967876,0.2817360914473339,0.036116096573427764,0.008947393995395462,0.07032281003000015,-0.008004507018893783,-0.00493449386287873,0.00036597243701200926,0.049892841919009334,0.008906773586927432,-0.022652739265354077,0.006432902909668557,0.8066134415419038
TZA,-0.5400279721040172,0.2706637179790693,0.036043336036247084,0.011376972801663554,0.059124016395527945,-0.00864185916659171,-0.0050897613001952054,0.0003234965182458962,0.042373248249278364,0.009419326108974332,-0.024162436070662263,0.006495660010282081,0.8093176735623392
UGA,-0.5347290722502385,0.2605781309227538,0.0366767054345809,0.011905655161559187,0.05847856351836693,-0.00840605557650813,-0.005989892103795447,0.0003536933007421294,0.041325330916939164,0.00925539759705545,-0.028007135181856546,0.006708957711336952,0.8066067543007813
UZB,-0.562425683118636,0.28246353593185314,0.037827968452062946,0.011799249063456654,0.06281360336695882,-0.009040614358712704,-0.00509452852843811,0.00034328947423915564,0.04367973020052316,0.008811835354913627,-0.024291244985833238,0.006219569189933924,0.8053170501092985
VEN,-0.5717152070288494,0.29405862507702785,0.036564761244047214,0.011128226091827838,0.05276708823813278,-0.009091292959307476,-0.005127011884592934,0.00035106353768432153,0.0482730596135196,0.009270992816529494,-0.02423374636873564,0.006759491256530436,0.8025435204712499
VNM,-0.5567551569049207,0.27324907313117225,0.03606935931039558,0.008881294628065528,0.06670418197874403,-0.006788152361438731,-0.004535971992977719,0.00022231958121491247,0.04709094722572247,0.01005649749050905,-0.022225571787241327,0.0068809738357798736,0.8062143862480584
YEM,-0.5478648606995369,0.2768484429019775,0.03657466458736072,0.011234109734594967,0.058454144133393754,-0.008967115464533354,-0.005233282702724553,0.00033197466935513714,0.042338140875656155,0.009020474753727498,-0.024823034964698495,0.006488732626456508,0.8077827134465344
ZMB,-0.5493535212285228,0.27578227084496726,0.036642653681881084,0.011669397169159261,0.05808607226759216,-0.008458220741268698,-0.004764510257505211,0.00032384701639028056,0.04302033674406855,0.00918872514465775,-0.02300876082039091,0.006596959527752943,0.8082755735639026
ZWE,-0.5373613912204115,0.26719013625419663,0.03558835018117287,0.01246605768026161,0.05943701048579872,-0.008309421558683104,-0.005321547958637847,0.00031368579935218456,0.040709382959916524,0.009966471122673112,-0.0262822570825752,0.006865361224018589,0.8071351335581176
