Variable,Coef,SE,p,CI_lo,CI_hi,Spec,N,R2,R2_adj
Trade (% of GDP),-0.0008024904746636959,0.0024439347330075896,0.7426394628322781,-0.0055925145319250845,0.003987533582597693,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
NR rents excl. forest (% of GDP),-0.010705097653176475,0.006440161680286733,0.09646455999283131,-0.023327582601153432,0.0019173872948004805,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
log_HCI_x_Prod,-0.178512497508661,0.16077052590669255,0.2668457056557296,-0.4936169380613421,0.13659194304402011,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
log_GFCF_x_Prod,-0.019091016988099514,0.018411563430149422,0.29978077118872315,-0.05517701821026712,0.01699498423406809,"Adj. rent + re-selected (51 ctry, ≥2% excl.forest)",1273.0,0.48846818415866944,0.48482306433082145
const,-3.7207316108734454,0.5350973030912164,3.5665180533139635e-12,-4.769503053156743,-2.671960168590148,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
log_HCI,2.2497164045911133,0.4592808890333497,9.664706381666622e-07,1.3495424032982108,3.149890405884016,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
log_GFCF,0.1849189799303446,0.05298163866449137,0.00048257516900243076,0.0810768763060267,0.28876108355466246,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
Political stability — estimate,-0.0020224749255516525,0.07160316606770645,0.977466262183306,-0.1423621015972968,0.13831715174619347,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
Rule of law index,0.25303427271026613,0.26275709935536185,0.3355490778676663,-0.2619601787084558,0.768028724128988,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
log_Prod,0.02953940007579349,0.041869766040703894,0.48049496973884387,-0.05252383340510436,0.11160263355669134,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
Trade (% of GDP),-0.000446587609326599,0.0021335190025759637,0.8341986550834001,-0.0046282080147073065,0.0037350327960541086,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
NR rents excl. forest (% of GDP),-0.013018819881708282,0.006415686477082888,0.04243619571837216,-0.025593334312891403,-0.0004443054505251613,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
log_HCI_x_Prod,-0.08875799637319864,0.160342389917516,0.5798848615047959,-0.40302330580660833,0.22550731306021105,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
log_GFCF_x_Prod,-0.0046485955696340675,0.017298309290319995,0.78813653358433,-0.03855265877209588,0.029255467632827742,"Adj. rent + re-selected (60 ctry, ≥1% excl.forest)",1498.0,0.464034251480022,0.46079252316236075
const,-3.246498523741514,0.3587753879044914,1.4450455585745842e-19,-3.9496853625737045,-2.5433116849093236,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
log_HCI,1.9418656350515044,0.2897231894700254,2.049031460835602e-11,1.3740186182041805,2.5097126518988286,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
log_GFCF,0.13635033834158297,0.05148329466074231,0.008086456708645393,0.035444935001064784,0.23725574168210117,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
Political stability — estimate,0.017817850089159,0.05937147161432492,0.7640948223342796,-0.09854809598405999,0.134183796162378,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
Rule of law index,0.3495614325679066,0.22622541895229192,0.12230012278384658,-0.09383224096607051,0.7929551061018838,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
log_Prod,0.021031017425562668,0.025966875065535973,0.41798779485241955,-0.029863122493938993,0.07192515734506433,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
Trade (% of GDP),0.00041914065816660604,0.0017186407109328733,0.8073244074811552,-0.00294933323762614,0.003787614553959352,All non-HIC countries (93 ctry),2292.0,0.38746186722856946,0.38504607266461555
