Country,Year,Resource,Metric,Kept_Source,Kept_Value,Dropped_Source,Dropped_Value,Pct_Discrepancy
Argentina,1993,Oil,Production,EI_CSV,629.8652055,OWID,31519250.0,5004026.2
Argentina,1994,Oil,Production,EI_CSV,695.4920548,OWID,35363766.0,5084611.7
Argentina,1995,Lithium,Production,EI_CSV,0.008,EI_Excel,0.008,0.0
Argentina,1995,Oil,Production,EI_CSV,757.9161644,OWID,38171053.0,5036216.0
Argentina,1996,Lithium,Production,EI_CSV,0.008,EI_Excel,0.008,0.0
Argentina,1996,Oil,Production,EI_CSV,822.7989071,OWID,41575471.0,5052832.2
Argentina,1997,Lithium,Production,EI_CSV,0.008,EI_Excel,0.008,0.0
Argentina,1997,Oil,Production,EI_CSV,877.430137,OWID,44174851.0,5034471.9
Argentina,1998,Lithium,Production,EI_CSV,1.129999995,EI_Excel,1.13,0.0
Argentina,1998,Oil,Production,EI_CSV,889.9479452,OWID,44834345.0,5037761.5
Argentina,1999,Lithium,Production,EI_CSV,0.200000003,EI_Excel,0.19999999999999998,0.0
Argentina,1999,Oil,Production,EI_CSV,834.5519864,OWID,42423518.0,5083288.3
Argentina,2000,Lithium,Production,EI_CSV,0.200000003,EI_Excel,0.19999999999999998,0.0
Argentina,2000,Oil,Production,EI_CSV,848.3776772,OWID,40994335.0,4831985.5
Argentina,2001,Lithium,Production,EI_CSV,0.200000003,EI_Excel,0.19999999999999998,0.0
Argentina,2001,Oil,Production,EI_CSV,921.3117023,OWID,41445316.0,4498411.8
Argentina,2002,Lithium,Production,EI_CSV,0.94599998,EI_Excel,0.9460000000000001,0.0
Argentina,2002,Oil,Production,EI_CSV,907.621897,OWID,40242083.0,4433693.8
Argentina,2003,Lithium,Production,EI_CSV,0.959999979,EI_Excel,0.96,0.0
Argentina,2003,Oil,Production,EI_CSV,912.9225876,OWID,38097086.0,4172990.5
Argentina,2004,Lithium,Production,EI_CSV,1.970000029,EI_Excel,1.97,0.0
Argentina,2004,Oil,Production,EI_CSV,873.9009749,OWID,35912065.0,4109297.5
Argentina,2005,Lithium,Production,EI_CSV,1.980000019,EI_Excel,1.98,0.0
Argentina,2005,Oil,Production,EI_CSV,842.4784148,OWID,34117773.0,4049591.1
Argentina,2006,Lithium,Production,EI_CSV,2.900000095,EI_Excel,2.9,0.0
Argentina,2006,Oil,Production,EI_CSV,848.5186626,OWID,33807649.0,3984214.1
Argentina,2007,Lithium,Production,EI_CSV,3.0,EI_Excel,3.0,0.0
Argentina,2007,Oil,Production,EI_CSV,813.9296808,OWID,32958800.0,4049242.4
Argentina,2008,Lithium,Production,EI_CSV,3.170000076,EI_Excel,3.1699999999999995,0.0
Argentina,2008,Oil,Production,EI_CSV,802.3307686,OWID,32374752.0,4034987.9
Argentina,2009,Lithium,Production,EI_CSV,2.220000029,EI_Excel,2.2199999999999998,0.0
Argentina,2009,Oil,Production,EI_CSV,729.694854,OWID,32027302.0,4389036.3
Argentina,2010,Lithium,Production,EI_CSV,2.950000048,EI_Excel,2.9499999999999997,0.0
Argentina,2010,Oil,Production,EI_CSV,711.8400912,OWID,31298178.0,4396699.0
Argentina,2011,Lithium,Production,EI_CSV,2.950000048,EI_Excel,2.9499999999999997,0.0
Argentina,2011,Oil,Production,EI_CSV,667.2363986,OWID,29439986.0,4412127.2
Argentina,2012,Lithium,Production,EI_CSV,2.700000048,EI_Excel,2.6999999999999997,0.0
Argentina,2012,Oil,Production,EI_CSV,656.6560847,OWID,29284559.0,4459549.4
Argentina,2013,Lithium,Production,EI_CSV,2.5,EI_Excel,2.5,0.0
Argentina,2013,Oil,Production,EI_CSV,644.3725278,OWID,28675450.0,4450035.4
Argentina,2014,Lithium,Production,EI_CSV,3.200000048,EI_Excel,3.1999999999999997,0.0
Argentina,2014,Oil,Production,EI_CSV,637.5934115,OWID,28243106.0,4429542.1
Argentina,2015,Lithium,Production,EI_CSV,3.599999905,EI_Excel,3.6,0.0
Argentina,2015,Oil,Production,EI_CSV,646.3601659,OWID,27176128.0,4204386.8
Argentina,2016,Lithium,Production,EI_CSV,5.800000191,EI_Excel,5.8,0.0
Argentina,2016,Oil,Production,EI_CSV,609.7357514,OWID,27176128.0,4456933.7
Argentina,2017,Lithium,Production,EI_CSV,5.699999809,EI_Excel,5.699999999999999,0.0
Argentina,2017,Oil,Production,EI_CSV,590.4261059,OWID,25463642.0,4312656.8
Argentina,2018,Lithium,Production,EI_CSV,6.400000095,EI_Excel,6.3999999999999995,0.0
Argentina,2018,Oil,Production,EI_CSV,591.6664003,OWID,26013729.0,4396588.6
Argentina,2019,Lithium,Production,EI_CSV,6.300000191,EI_Excel,6.3,0.0
Argentina,2019,Oil,Production,EI_CSV,719.6227497,OWID,26060312.0,3621285.2
Argentina,2020,Lithium,Production,EI_CSV,5.900000095,EI_Excel,5.8999999999999995,0.0
Argentina,2020,Lithium,Production,EI_CSV,5.900000095,OWID,5900.0,99900.0
Argentina,2020,Oil,Production,EI_CSV,721.0329708,OWID,25603785.0,3550886.7
Argentina,2021,Lithium,Production,EI_CSV,5.96691227,EI_Excel,5.96691230120863,0.0
Argentina,2021,Lithium,Production,EI_CSV,5.96691227,OWID,5970.0,99951.7
Argentina,2021,Oil,Production,EI_CSV,796.5231739,OWID,26521000.0,3329495.5
Argentina,2022,Lithium,Production,EI_CSV,6.377936363,EI_Excel,6.377936452849662,0.0
Argentina,2022,Lithium,Production,EI_CSV,6.377936363,OWID,6590.0,103225.0
Argentina,2022,Oil,Production,EI_CSV,954.9859924,OWID,30079000.0,3149579.7
Argentina,2022,Silver,Reserves,OWID,6500.0,OWID,6500.0,0.0
Argentina,2023,Lithium,Production,EI_CSV,8.630000114,EI_Excel,8.629999999999999,0.0
Argentina,2023,Lithium,Production,EI_CSV,8.630000114,OWID,8630.0,99900.0
Argentina,2023,Oil,Production,EI_CSV,1071.72279,OWID,32812000.0,3061512.6
Argentina,2023,Silver,Reserves,OWID,6500.0,OWID,6500.0,0.0
Argentina,2024,Lithium,Production,EI_CSV,18.0,EI_Excel,18.0,0.0
Argentina,2024,Lithium,Production,EI_CSV,18.0,EI_Excel,1.085747392815759,94.0
Argentina,2024,Lithium,Production,EI_CSV,18.0,EI_Excel,0.07357846387011444,99.6
Argentina,2024,Lithium,Production,EI_CSV,18.0,OWID,18000.0,99900.0
Argentina,2024,Lithium,Reserves,EI_CSV,4000.0,EI_Excel,4000.0,0.0
Argentina,2024,Lithium,Reserves,EI_CSV,4000.0,OWID,4000000.0,99900.0
Argentina,2024,Silver,Reserves,OWID,6500.0,OWID,6500.0,0.0
Australia,1970,Oil,Production,EI_CSV,176.0,OWID,8541000.0,4852740.9
Australia,1971,Oil,Production,EI_CSV,315.0,OWID,14803000.0,4699265.1
Australia,1972,Oil,Production,EI_CSV,337.0,OWID,17333000.0,5143223.4
Australia,1973,Oil,Production,EI_CSV,424.0,OWID,20635000.0,4866645.3
Australia,1974,Oil,Production,EI_CSV,420.0,OWID,24559000.0,5847281.0
Australia,1975,Oil,Production,EI_CSV,451.0,OWID,21738000.0,4819855.7
Australia,1976,Oil,Production,EI_CSV,461.0,OWID,22122000.0,4798598.5
Australia,1977,Oil,Production,EI_CSV,490.0,OWID,22793000.0,4651532.7
Australia,1978,Oil,Production,EI_CSV,490.0,OWID,22976000.0,4688879.6
Australia,1979,Oil,Production,EI_CSV,491.0,OWID,22380000.0,4557944.8
Australia,1980,Oil,Production,EI_CSV,460.0,OWID,19451000.0,4228378.3
Australia,1981,Coal,Production,EI_CSV,128.519,OWID,133585000.0,103941729.6
Australia,1981,Oil,Production,EI_CSV,449.0,OWID,19798921.0,4409459.2
Australia,1982,Coal,Production,EI_CSV,131.581,OWID,144922000.0,110138901.8
Australia,1982,Oil,Production,EI_CSV,443.0,OWID,18839167.0,4252533.6
Australia,1983,Coal,Production,EI_CSV,135.072,OWID,143017000.0,105881948.1
Australia,1983,Oil,Production,EI_CSV,431.0,OWID,21209115.0,4920808.4
