FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.03,kMT,0.69
Caldera,port,-27.07,-70.82,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.03,kMT,0.69
Coloso,port,-23.76,-70.45,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,5.13,kMT,14.66
Mejillones,port,-23.1,-70.45,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,2.93,kMT,14.66
Patache,port,-20.8,-70.22,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,2.2,kMT,14.66
Barquito,port,-27.07,-70.84,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,1.17,kMT,14.66
Coquimbo,port,-29.96,-71.35,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,1.76,kMT,14.66
Angamos,port,-23.1,-70.42,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,0.73,kMT,14.66
Caldera,port,-27.07,-70.82,Taiwan,country,25.03,121.57,port_to_country,concentrate,Copper,,0.73,kMT,14.66
Coloso,port,-23.76,-70.45,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,2.66,kMT,7.59
Mejillones,port,-23.1,-70.45,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,1.52,kMT,7.59
Patache,port,-20.8,-70.22,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,1.14,kMT,7.59
Barquito,port,-27.07,-70.84,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.61,kMT,7.59
Coquimbo,port,-29.96,-71.35,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.91,kMT,7.59
Angamos,port,-23.1,-70.42,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.38,kMT,7.59
Caldera,port,-27.07,-70.82,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,,0.38,kMT,7.59
Angamos,port,-23.1,-70.42,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,3.9,kMT,15.59
Mejillones,port,-23.1,-70.45,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59
Iquique,port,-20.21,-70.15,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,2.34,kMT,15.59
San Antonio,port,-33.59,-71.62,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,1.56,kMT,15.59
Ventanas,port,-32.74,-71.49,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,1.56,kMT,15.59
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,0.78,kMT,15.59
Coquimbo,port,-29.96,-71.35,Germany,country,53.55,9.99,port_to_country,cathode,Copper,,0.78,kMT,15.59
Angamos,port,-23.1,-70.42,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.02,kMT,0.1
Mejillones,port,-23.1,-70.45,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1
Antofagasta (ATI),port,-23.65,-70.4,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1
Iquique,port,-20.21,-70.15,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1
San Antonio,port,-33.59,-71.62,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1
Ventanas,port,-32.74,-71.49,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.01,kMT,0.1
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.0,kMT,0.1
Coquimbo,port,-29.96,-71.35,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,,0.0,kMT,0.1
Angamos,port,-23.1,-70.42,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,9.82,kMT,39.26
Mejillones,port,-23.1,-70.45,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26
Antofagasta (ATI),port,-23.65,-70.4,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26
Iquique,port,-20.21,-70.15,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,5.89,kMT,39.26
San Antonio,port,-33.59,-71.62,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,3.93,kMT,39.26
Ventanas,port,-32.74,-71.49,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,3.93,kMT,39.26
Barquito,port,-27.07,-70.84,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,1.96,kMT,39.26
Coquimbo,port,-29.96,-71.35,Spain,country,36.72,-4.42,port_to_country,cathode,Copper,,1.96,kMT,39.26
Angamos,port,-23.1,-70.42,France,country,48.86,2.35,port_to_country,cathode,Copper,,22.38,kMT,89.52
Mejillones,port,-23.1,-70.45,France,country,48.86,2.35,port_to_country,cathode,Copper,,13.43,kMT,89.52
Antofagasta (ATI),port,-23.65,-70.4,France,country,48.86,2.35,port_to_country,cathode,Copper,,13.43,kMT,89.52
Iquique,port,-20.21,-70.15,France,country,48.86,2.35,port_to_country,cathode,Copper,,13.43,kMT,89.52
San Antonio,port,-33.59,-71.62,France,country,48.86,2.35,port_to_country,cathode,Copper,,8.95,kMT,89.52
Ventanas,port,-32.74,-71.49,France,country,48.86,2.35,port_to_country,cathode,Copper,,8.95,kMT,89.52
Barquito,port,-27.07,-70.84,France,country,48.86,2.35,port_to_country,cathode,Copper,,4.48,kMT,89.52
Coquimbo,port,-29.96,-71.35,France,country,48.86,2.35,port_to_country,cathode,Copper,,4.48,kMT,89.52
Angamos,port,-23.1,-70.42,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.31,kMT,1.23
Mejillones,port,-23.1,-70.45,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.19,kMT,1.23
Antofagasta (ATI),port,-23.65,-70.4,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.19,kMT,1.23
Iquique,port,-20.21,-70.15,Greece,country,37.98,23.73,port_to_country,cathode,Copper,,0.19,kMT,1.23
