Year,Country Code,Value,Variable
2006,ATG,22351.758,"Gross domestic product per capita, constant prices"
2007,ATG,24170.701,"Gross domestic product per capita, constant prices"
2008,ATG,23896.288,"Gross domestic product per capita, constant prices"
2009,ATG,20795.824,"Gross domestic product per capita, constant prices"
2010,ATG,18939.279,"Gross domestic product per capita, constant prices"
2011,ATG,18363.264,"Gross domestic product per capita, constant prices"
2012,ATG,18714.358,"Gross domestic product per capita, constant prices"
2013,ATG,18332.457,"Gross domestic product per capita, constant prices"
2014,ATG,18747.095,"Gross domestic product per capita, constant prices"
2015,ATG,19171.493,"Gross domestic product per capita, constant prices"
2016,ATG,19917.622,"Gross domestic product per capita, constant prices"
2017,ATG,20231.285,"Gross domestic product per capita, constant prices"
2018,ATG,21285.936,"Gross domestic product per capita, constant prices"
2019,ATG,21879.305,"Gross domestic product per capita, constant prices"
2020,ATG,17783.905,"Gross domestic product per capita, constant prices"
2021,ATG,18674.669,"Gross domestic product per capita, constant prices"
2022,ATG,19966.001,"Gross domestic product per capita, constant prices"
2023,ATG,20842.348,"Gross domestic product per capita, constant prices"
2024,ATG,21808.434,"Gross domestic product per capita, constant prices"
2025,ATG,22387.965,"Gross domestic product per capita, constant prices"
2026,ATG,22709.093,"Gross domestic product per capita, constant prices"
2027,ATG,23035.47,"Gross domestic product per capita, constant prices"
2028,ATG,23369.629,"Gross domestic product per capita, constant prices"
2029,ATG,23711.77,"Gross domestic product per capita, constant prices"
1980,ARG,18295.43,"Gross domestic product per capita, constant prices"
1981,ARG,16941.517,"Gross domestic product per capita, constant prices"
1982,ARG,16135.866,"Gross domestic product per capita, constant prices"
1983,ARG,16504.371,"Gross domestic product per capita, constant prices"
1984,ARG,16552.431,"Gross domestic product per capita, constant prices"
1985,ARG,15143.015,"Gross domestic product per capita, constant prices"
1986,ARG,16019.229,"Gross domestic product per capita, constant prices"
1987,ARG,16239.404,"Gross domestic product per capita, constant prices"
1988,ARG,15729.402,"Gross domestic product per capita, constant prices"
1989,ARG,14448.213,"Gross domestic product per capita, constant prices"
1990,ARG,13961.355,"Gross domestic product per capita, constant prices"
1991,ARG,15221.154,"Gross domestic product per capita, constant prices"
1992,ARG,16562.766,"Gross domestic product per capita, constant prices"
1993,ARG,17339.998,"Gross domestic product per capita, constant prices"
1994,ARG,18118.153,"Gross domestic product per capita, constant prices"
1995,ARG,17387.03,"Gross domestic product per capita, constant prices"
1996,ARG,18130.831,"Gross domestic product per capita, constant prices"
1997,ARG,19376.357,"Gross domestic product per capita, constant prices"
1998,ARG,19898.279,"Gross domestic product per capita, constant prices"
1999,ARG,19016.963,"Gross domestic product per capita, constant prices"
2000,ARG,18669.291,"Gross domestic product per capita, constant prices"
2001,ARG,17667.359,"Gross domestic product per capita, constant prices"
2002,ARG,15591.765,"Gross domestic product per capita, constant prices"
2003,ARG,16829.222,"Gross domestic product per capita, constant prices"
2004,ARG,18158.053,"Gross domestic product per capita, constant prices"
