Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ)
RWA,Rwanda,2020,-0.746,-0.7759951271064951,-0.7692122791371738,-0.7764743812063322,-0.7740527065096691,-0.813799421190608,-0.7661198903678932,-0.7709243256608495,-0.76747570850168,-0.7699023042777551
RWA,Rwanda,2021,-0.746,-0.7961609143791448,-0.7871582917112084,-0.8038684356376895,-0.7954012214566477,-0.8275292153221553,-0.7831809136786375,-0.7930995999638609,-0.7857565227390315,-0.7932931145239283
RWA,Rwanda,2022,-0.746,-0.8127655849879964,-0.8006605012138754,-0.8284521835491913,-0.8112147401792683,-0.8333626474506997,-0.797501043687523,-0.8126980244479152,-0.8011726658507949,-0.8170628735247035
RWA,Rwanda,2023,-0.746,-0.830239052709971,-0.810397499624172,-0.8504401259731564,-0.8224353522707715,-0.864894668915983,-0.8093580846622851,-0.8298660258413245,-0.814012158999999,-0.8405085053920758
RWA,Rwanda,2024,-0.746,-0.8427292509825071,-0.8169291744976747,-0.8700026601001427,-0.8298221548405916,-0.8725821470411702,-0.818994745977167,-0.8447281139882148,-0.8245262147172644,-0.8642487966978312
RWA,Rwanda,2025,-0.746,-0.8517199071643495,-0.8207174736389438,-0.8872751475283487,-0.8339867971688887,-0.8755594264822942,-0.8266230756356986,-0.8573901623275608,-0.8329339409836752,-0.8792732335493864
RWA,Rwanda,2026,-0.746,-0.8586488598150281,-0.8221435374609287,-0.9023651179782284,-0.8354221211296079,-0.8766263936297299,-0.8324283337084529,-0.8679421973561348,-0.8394264441395731,-0.8928367331175696
RWA,Rwanda,2027,-0.746,-0.86413269893948,-0.8215218344229431,-0.91535799184179,-0.8345252384673266,-0.8801423181085671,-0.8365723764410791,-0.8764607705697566,-0.8441704074483334,-0.9043106542160441
RWA,Rwanda,2028,-0.746,-0.8677684732039053,-0.8191118237912923,-0.9263216261109424,-0.8316161255193212,-0.8805339114975276,-0.8391966128494249,-0.8830109753767268,-0.8473112123255587,-0.9150454981604477
RWA,Rwanda,2029,-0.746,-0.8679895743908308,-0.8151275782619107,-0.9353099256114847,-0.8269526060790573,-0.8727364116300125,-0.8404245878092713,-0.8876481621233551,-0.8489756606802987,-0.9167416629312559
RWA,Rwanda,2030,-0.746,-0.8675924220946583,-0.8097457233213233,-0.9423657117264868,-0.820742423972353,-0.8718495428909123,-0.8403642388254522,-0.8904193964176133,-0.8492743493455253,-0.9159779902576
SAU,Saudi Arabia,2020,0.7,0.5919775504267788,0.5349785288327567,0.5308335182186588,0.5212735263198425,0.7188155154695717,0.5832040306219901,0.5744984450919415,0.5840150983976822,0.6882017404617874
SAU,Saudi Arabia,2021,0.7,0.49759161337962216,0.3979639049919452,0.39125148681510713,0.3767570294969851,0.7240113468688514,0.4792247419830055,0.4622431182755966,0.48098920967743614,0.66829206892805
SAU,Saudi Arabia,2022,0.7,0.416002915661981,0.28407921636065026,0.27520253843979936,0.2598355105671587,0.7253020214720256,0.3864584360014145,0.3612799722471738,0.38928379077113606,0.6465818394364898
SAU,Saudi Arabia,2023,0.7,0.3453981484767992,0.18930065704606114,0.17787953541024393,0.16517887499506922,0.7253020214720257,0.30350400908352465,0.26994743792011566,0.3074697017282796,0.6246029501590741
SAU,Saudi Arabia,2024,0.7,0.2843368340461082,0.11030829560900735,0.09546374199885821,0.08849235147257017,0.7264846048053593,0.229137358449179,0.18683264682186973,0.23430044434088343,0.6036752288711388
SAU,Saudi Arabia,2025,0.7,0.23038896469024583,0.04436294803952323,0.02492159779603975,0.026315389634720243,0.7264846048053591,0.1622890216952163,0.11073420604203431,0.16868882082824077,0.579315128680833
SAU,Saudi Arabia,2026,0.7,0.18257958527807866,-0.010795410960481533,-0.036156723228391474,-0.024140379902801268,0.7264846048053589,0.10202464114324884,0.04063054495800508,0.10968657550349752,0.5529028299061933
SAU,Saudi Arabia,2027,0.7,0.13968693841805332,-0.05703146603045661,-0.08968555957824464,-0.06512171069173711,0.7264846048053591,0.04752789611797153,-0.024347000235316746,0.05646663820186113,0.5232021047549898
SAU,Saudi Arabia,2028,0.7,0.10104533636140357,-0.09588371711884824,-0.1371856400784518,-0.09843894448617951,0.7264846048053591,-0.0019144086165990837,-0.08493707333757858,0.008307636969571638,0.49193023275395503
SAU,Saudi Arabia,2029,0.7,0.06593264435176228,-0.12862153816765887,-0.1798650144832118,-0.1255507803339473,0.726484604805359,-0.04692537064945799,-0.14176775929897079,-0.03541960999417013,0.4591266229361561
SAU,Saudi Arabia,2030,0.7,0.03388199574790829,-0.15629225466185925,-0.21868334383444887,-0.14763257802956375,0.7264846048053591,-0.08804937191955084,-0.19537313246607813,-0.07526387608760007,0.42586591817700814
TGO,Togo,2020,-0.893,-0.882319419023093,-0.8772929026440728,-0.8614313172543606,-0.8768686633266289,-0.8807559676288079,-0.8878941360658483,-0.8825904717504258,-0.8888199986711538,-0.9029018948434454
