FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Patache,port,-20.8,-70.22,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,3.76,kMT,34.78
San Antonio,port,-33.59,-71.62,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,0.47,kMT,34.78
Ventanas,port,-32.74,-71.49,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,3.59,kMT,34.78
Angamos,port,-23.1,-70.42,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Antofagasta (ATI),port,-23.65,-70.4,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Barquito,port,-27.07,-70.84,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Caldera,port,-27.07,-70.82,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Coloso,port,-23.76,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.01,kMT,0.02
Coquimbo,port,-29.96,-71.35,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Mejillones,port,-23.1,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Patache,port,-20.8,-70.22,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
San Antonio,port,-33.59,-71.62,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Ventanas,port,-32.74,-71.49,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02
Angamos,port,-23.1,-70.42,India,country,19.08,72.88,port_to_country,concentrate,Copper,,9.78,kMT,171.08
Antofagasta (ATI),port,-23.65,-70.4,India,country,19.08,72.88,port_to_country,concentrate,Copper,,7.85,kMT,171.08
Barquito,port,-27.07,-70.84,India,country,19.08,72.88,port_to_country,concentrate,Copper,,2.09,kMT,171.08
Caldera,port,-27.07,-70.82,India,country,19.08,72.88,port_to_country,concentrate,Copper,,13.99,kMT,171.08
Coloso,port,-23.76,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,58.26,kMT,171.08
Coquimbo,port,-29.96,-71.35,India,country,19.08,72.88,port_to_country,concentrate,Copper,,4.48,kMT,171.08
Mejillones,port,-23.1,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,10.25,kMT,171.08
Patache,port,-20.8,-70.22,India,country,19.08,72.88,port_to_country,concentrate,Copper,,18.51,kMT,171.08
San Antonio,port,-33.59,-71.62,India,country,19.08,72.88,port_to_country,concentrate,Copper,,2.31,kMT,171.08
Ventanas,port,-32.74,-71.49,India,country,19.08,72.88,port_to_country,concentrate,Copper,,17.67,kMT,171.08
Angamos,port,-23.1,-70.42,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07
