FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Germany,country,53.55,9.99,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,Greece,country,37.98,23.73,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Greece,country,37.98,23.73,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,India,country,19.08,72.88,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,India,country,19.08,72.88,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,India,country,19.08,72.88,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,India,country,19.08,72.88,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Indonesia,country,-6.21,106.85,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Italy,country,45.46,9.19,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Italy,country,45.46,9.19,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,Japan,country,35.68,139.69,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Malaysia,country,3.14,101.69,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Malaysia,country,3.14,101.69,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Mexico,country,19.43,-99.13,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Mexico,country,19.43,-99.13,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,Mexico,country,19.43,-99.13,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,Netherlands,country,51.92,4.48,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Norway,country,59.91,10.75,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Panama,country,8.98,-79.52,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Panama,country,8.98,-79.52,port_to_country,nitrate,Nitrate,
Antofagasta (ATI),port,-23.65,-70.4,Peru,country,-12.05,-77.04,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Peru,country,-12.05,-77.04,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Peru,country,-12.05,-77.04,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Peru,country,-12.05,-77.04,port_to_country,nitrate,Nitrate,
