Nitrate_Resource,COMMTYPE,LONGITUD,COMBINACION_CRITICO,CRITICO_3,Iodine_Resource,ESTADO_DEPOSITO,Molybdenum_Reserve,OPERATOR_NAME,ECAP,DDLAT,Rare Earths_Resource,COMUNA,Potassium_Reserve,ANNCAP,Titanium_Resource,OWNER_NAME,CRITICO_1,NOMBRE_DEPOSITO,OrdFranj,PROVINCIA,OPERATOR,FACTYPE,STATUS,OWNER,COUNTRY,ADM1,LOCACC,ELEVACION,LATITUD,YEAR,OTROS_NOMBRES,Lithium_Reserve,LOCDESC,PRIMARY_COMMODITY,DDLONG,Manganese_Resource,MIN_PROD,Copper_Reserve,SOURCEID,FACILITY_TYPE,OrdReg,ISO_CC,ID,MULTI_PROD,FACID_NUM,Iron_Reserve,REGION,Cobalt_Resource,Iron_Resource,FACILITY_NAME,UNITS,COMMODITY,Potassium_Resource,MODELO_DEPOSITO,Silver_Reserve,Zinc_Resource,MULTI_COMM,FACID,Gold_Resource,Boron_Resource,VALOR_DATO,ID_SIA_YACIMIENTO,ID_ATLAS_FAENA,Copper_Resource,Molybdenum_Resource,Lithium_Resource,Iodine_Reserve,SISTEMA_MINERAL,Boron_Reserve,SOURCE,COMB_CRIT_COD,ALL_COMMODITIES_RAW,FRANJA_METALOGENICA,Gold_Reserve,OTROS_CRITICOS,COMBOCAP,ROWID,OBJECTID,GRUPO_MODELO,CRITICO_2,LOCNAME,Nitrate_Reserve,Zinc_Reserve,REFERENCIA,CAPACITY_UNITS,Silver_Resource,COMMENTS,CRITICO_4,CAPACITY,N_COMMODITIES,COMMODITY_LIST_STR
,,-68.89399999999995,Cobre-Molibdeno,,,Prospecto/Proyecto,,,,,,Pica,,,,,Cobre,Copaquire,8,Tamarugal,,,Prospect/Project,,,,,,-20.91599999999994,,"Cerro Moly, Huatacondo, Marta, Sulfato, Sulphato",,,Copper,,,,,,Prospect/Project,2,,54,,,,Tarapacá,,,Copaquire,,,,Pórfido de Cu-Mo,,,,,,,Histórico,2275,,60000.0,45000.0,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04",Cobre-Molibdeno,Eoceno-Oligoceno,,Renio,,,54,Pórfidos,Molibdeno,,,,https://repositorio.sernageomin.cl/items/a8faf057-5764-4d2d-a6eb-5c9c152fbe50/full,,,,,,2,"Copper, Molybdenum"
,,-70.85199999999998,Manganeso,,,Mina paralizada,,,,,,Freirina,,,,,Manganeso,Coquimbana,5,Huasco,,,Idle,,,,,,-28.369999999999948,,,,,Manganese,,,,,,Mine (idle),4,,55,,,,Atacama,,,Coquimbana,,,,Estratoligado,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_06,Manganeso,Cretácico Inferior,,,,,55,Estratoligado,,,,,,,,,,,1,Manganese
,,-70.80499999999995,Cobre-Oro-Plata-Molibdeno,Plata,,Prospecto/Proyecto,48694.0,,,,,Vallenar,,,,,Cobre,Costa Fuego,5,Huasco,,,Prospect/Project,,,,,,-28.714999999999975,,"Productora, Cortadera, San Antonio, El Fuego, Alice",,,Copper,,,,1857400.0,,Prospect/Project,4,,56,,,,Atacama,,,Costa Fuego,,,,Pórfido de Cu,245.98,,,,91.98,,Actualizado,1676,,3460100.0,80213.0,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_03, MIN_04, MIN_17, MIN_18",Cobre-Oro-Plata-Molibdeno,Cretácico Inferior,50.2,Renio,,,56,Pórfidos,Oro,,,,https://es.hotchili.net.au/UploadImages/announcements/2881436-663.pdf,,472.08,,Molibdeno,,4,"Copper, Gold, Silver, Molybdenum"
,,-71.04173899999995,Hierro,,,Mina paralizada,,Compañía Minera del Pacífico S.A. (CMP),,,,Freirina,,,,"CAP S.A., 75%, and MC Inversiones Ltda., 25%",Hierro,Cristales,5,Huasco,,,Idle,,,,,,-29.15095999999994,,,,,Iron,,,,,,Mine (idle),4,,57,,,,Atacama,,48872000.0,Cristales,,,,IOA,,,,,,,Actualizado,M-981,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_15,Hierro,Cretácico Inferior,,,,,57,IOA,,,,,https://www.cmp.cl/wp-content/uploads/2024/08/memoria-espanol28.08_compressed.pdf,,,,,,1,Iron
,,-70.16299999999995,Cobre-Oro,,,Prospecto/Proyecto,,,,,,Diego de Almagro,,,,,Cobre,Diego de Almagro,5,Chañaral,,,Prospect/Project,,,,,,-26.375999999999976,,,,,Copper,,,,,,Prospect/Project,4,,58,,,,Atacama,,,Diego de Almagro,,,,IOCG,,,,,3.58,,Histórico,,,465400.0,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_17",Cobre-Oro,Cretácico Inferior,,,,,58,IOCG,Oro,,,,https://app.ingemmet.gob.pe/biblioteca/pdf/CPG14-162.pdf,,,,,,2,"Copper, Gold"
,,-70.52999999999997,Cobre-Cobalto,,,Mina paralizada,,,,,,Caldera,,,,,Cobre,Distrito Algarrobo-El Roble,5,Copiapó,,,Idle,,,,,,-27.029999999999973,,,,,Copper,,,,,,Mine (idle),4,,59,,,,Atacama,,,Distrito Algarrobo-El Roble,,,,IOCG,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_08",Cobre-Cobalto,Cretácico Inferior,,,,,59,IOCG,Cobalto,,,,,,,,,,2,"Copper, Cobalt"
,,-70.91399999999999,Cobre-Plata-Manganeso,Manganeso,,Mina paralizada,,,,,,La Serena,,,,,Cobre,Distrito Arqueros,5,Elqui,,,Idle,,,,,,-29.786999999999978,,,,,Copper,,,,,,Mine (idle),5,,60,,,,Coquimbo,,,Distrito Arqueros,,,,Estratoligado,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_06, MIN_18",Cobre-Plata-Manganeso,Cretácico Inferior,,,,,60,Estratoligado,Plata,,,,,,,,,,3,"Copper, Silver, Manganese"
,,-70.86999999999995,Cobre-Cobalto,,,Mina paralizada,,,,,,Huasco,,,,,Cobre,Distrito Astilla,4,Huasco,,,Idle,,,,,,-28.289999999999964,,,,,Copper,,,,,,Mine (idle),4,,61,,,,Atacama,,,Distrito Astilla,,,,IOCG,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_08",Cobre-Cobalto,Jurásico-Cretácico,,,,,61,IOCG,Cobalto,,,,,,,,,,2,"Copper, Cobalt"
,,-69.00888899999995,Plata,,,Mina paralizada,,,,,,Sierra Gorda,,,,,Plata,Distrito Caracoles,6,Antofagasta,,,Idle,,,,,,-23.053610999999933,,,,,Silver,,,,,,Mine (idle),3,,62,,,,Antofagasta,,,Distrito Caracoles,,,,Epitermal de baja sulfuración,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,MIN_18,Plata,Cretácico Superior,,,,,62,Epitermales,,,,,,,,,,,1,Silver
,,-70.90199999999999,Cobre-Cobalto,,,Mina paralizada,,,,,,Huasco,,,,,Cobre,Distrito Carrizal Alto,3,Huasco,,,Idle,,,,,,-28.085999999999956,,,,,Copper,,,,,,Mine (idle),4,,63,,,,Atacama,,,Distrito Carrizal Alto,,,,IOCG,,,,,,,Sin información,,,,,,,Magmático-Hidrotermal,,Sernageomin_2025,"MIN_01, MIN_08",Cobre-Cobalto,Jurásico,,,,,63,IOCG,Cobalto,,,,,,,,,,2,"Copper, Cobalt"
