excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),Inflation_roll5,RealRate_roll5,Resource_HHI,HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
MYS,-0.05802793633738639,0.038556174224386106,-0.017508384992055544,0.041433769008628246,-0.000526247195605724,0.014560182204971975,0.009766603502651867,0.05135506085578551,-0.0003055457262499151,0.03134895803736418,-0.021045853858483253,-0.023284373196031872,-0.013475186639589016,-0.007418963664232298,-0.011107747781961753,0.07603927903678823,-0.031310993424683506,0.4532991217884752,0.00211159609003215,0.0077621806574496065,-0.012472303060005054,0.006189349356219367,0.03822481906394583,0.004851456965591225
NER,-0.05627733674147827,0.03875657693192202,-0.019665349234244952,0.03959146896198198,0.003863037175718629,0.014170660967735194,0.00957330916496162,0.06709887702271265,-0.0018688487192387053,0.030685281596162784,-0.023920005799475355,-0.020129420738221823,-0.014461078423902774,-0.006920681414828178,-0.010240233655806796,0.07475746438675714,-0.03065628007777602,0.48131882897791917,0.005349957767106892,0.007767744053548514,-0.012153226024123182,0.005115707916526284,0.03492268842228557,0.004745006671775962
NGA,-0.04454453527433934,0.03192647221158714,-0.019714407692394117,0.040822221049029,0.00336657327295477,0.014595812568983176,0.00514156101648648,0.07506191886050968,0.006861782601745155,0.05058033421439037,-0.04336549703494726,-0.02984234975711406,-0.023668388417694183,-0.007942492817033454,-0.009913127363786125,0.0760677940398308,-0.019235380731079398,0.44659678080360243,0.008727343524272924,0.006274162017560621,-0.010875001767637714,0.00936741228113599,0.034592279198245715,0.006628022099238235
OMN,-0.057049055629745965,0.03667884612574586,-0.017276663159693666,0.040997401504963144,0.0030708156872207965,0.014692920435595114,0.00815043980710851,0.06670392115194079,-0.0004664350361952293,0.030887746342081492,-0.024122031176893242,-0.02210654732485143,-0.015954929598306022,-0.007349903672440011,-0.010948820600130077,0.07874548225550759,-0.029736847015943042,0.47942484965126725,0.006257166086917633,0.007844889527607871,-0.012953093554804174,0.005051646984017503,0.03764094300165082,0.0036483779228854516
PNG,-0.06224823555375539,0.04099826321314006,-0.02081153045941332,0.04104277316829065,0.0014662138465469622,0.02170891919830774,0.004946865367873708,0.06658140086974852,0.0013026594352131254,0.03209689536140136,-0.02091682274385376,-0.022554795255411732,-0.0179772673145699,-0.007501973702023656,-0.01234083623198268,0.07942523755394691,-0.03412669229872348,0.4704569503314913,0.006950782592661334,0.00868773437575388,-0.013268394008394328,0.006239424794557853,0.03898604154029767,0.0025652422764923135
QAT,-0.05681988440609598,0.037987495974258156,-0.018627253291753916,0.03750940852972955,0.0042795671420703275,0.01486985147943968,0.0073356085751389724,0.06976304811146408,0.00013726452727298158,0.03146400748469506,-0.021991558146582914,-0.025101282999919483,-0.015428956293794913,-0.00589241798997114,-0.010219615566091012,0.07871348192393117,-0.03220421685839441,0.4764415835432523,0.008461117114176103,0.007221576834948004,-0.013153235007421715,0.005679541887670597,0.03621765210825152,0.00034033878950858035
RUS,-0.07304014835226051,0.024268774142147027,-0.009592644410949204,0.034191780839318994,-0.00013570509573973644,0.021660420537203403,0.009371854378452303,0.0796476145689842,0.0028381638451700293,-0.004086896660692221,-0.038428154449677523,-0.02084158228787839,-0.020377494250504124,-0.007731585389305605,-0.013478217801583535,0.09834828972385082,-0.020340555866122587,0.43533133005435326,8.535005506425974e-05,0.003534934791631975,-0.018379329987365807,0.000868330712819789,0.029258378957903303,0.0024041265123647968
RWA,-0.057001469098367605,0.03759414159818661,-0.01786857141080709,0.03996312469023264,0.003124623577551388,0.015091111321913011,0.007568268250467741,0.06721448755666182,-0.0006272069598284587,0.02994493375841912,-0.023983708182984013,-0.022689179796278745,-0.015546780986807144,-0.008477340888400315,-0.011358588006220643,0.07602966327463108,-0.028408404132002858,0.4792653325329589,0.006316217482621503,0.008374397559825752,-0.01209659051275562,0.0038991297846808514,0.03802457420224886,0.0022510879543646924
SAU,-0.07399066983827941,0.04007688147335612,-0.012374028088617003,0.045990523714829805,0.012523163800808949,0.019364088682264087,-0.0015270528692823467,0.06862027192636906,0.00045127771284780095,0.030601957901548824,-0.02695632390146618,-0.026294468896612962,-0.00595973401710126,-0.005676507450937245,-0.010020530589354308,0.08315104757349379,-0.024264784052917272,0.4518351306794258,0.0025555559393344034,0.007086936202651772,-0.020292553195566394,0.0007911357905964246,0.035892546314725625,0.008991529805158324
TCD,-0.036797346163174496,0.03482025796703642,-0.01393044191343168,0.03423695562227649,-0.007454806884354635,0.017073560112674496,0.006914142096496198,0.07128807858922273,-4.757120006172726e-05,0.027099853702222777,-0.017521915698369382,-0.01911406044720829,-0.016570892660758715,-0.011657974765855735,-0.009941741192854521,0.05705597744940009,-0.02510042416115341,0.4807666519622066,0.010578131582140235,0.009125093024294862,-0.005062887601273107,0.0017177184112568016,0.026357064534686354,-0.00714299729791541
