excluded_country,Total_Production_Value_Per_Capita,Human capital index,Rule of law index,Political stability — estimate,Trade (% of GDP),"Gross fixed capital formation, all, Constant prices, Percent of GDP",Share of investment in GDP,Domestic credit to private sector (% of GDP),Landlocked,Urban population (% of total population),Government revenue,Capital depreciation rate,"Use of IMF credit (DOD, current US$)",Real interest rate (%),"Inflation, consumer prices (annual %)",Access to electricity (% of population),Adjusted savings: gross savings (% of GNI),L1_ECI,Forestry rents (% of GDP),HCI_x_ProductionValue,RuleOfLaw_x_ProductionValue
PNG,-0.0,0.014841411230702622,0.0,0.0,-0.0,0.0,0.0,0.07263259533600112,-0.0,0.00833261305848855,-0.0,-0.0032469674249733967,-0.0,0.0,-0.0,0.01680706708670878,-0.0,0.4799380142907345,-0.0,0.012809655303847173,0.0
QAT,-0.0,0.013512019878471703,0.0,0.0,-0.0,0.0,-0.0,0.0701007948833369,0.0,0.00884675302855884,-0.0,-0.005314948166111358,-0.0,0.0,-0.0,0.021226284453561547,-0.0,0.48903517633643767,-0.0,0.014660017905351451,0.0
RUS,-0.0,0.0,0.0,0.011790778685080515,-0.0,0.0,0.0,0.08116374512234156,0.0,0.0,-0.014653383632831418,-0.0047451205535791715,-0.0,0.0,-0.004454346113377053,0.04119526582839747,-0.0,0.4545774072898394,-0.0,0.01858213145699484,0.0
RWA,-0.0,0.013137615922328148,0.0,0.0,-0.0,0.0,-0.0,0.06872693840286448,0.0,0.00845242963558095,-0.0,-0.0019805073363984233,-0.0,0.0,-0.0,0.02185768278496785,-0.0,0.4904437499760346,-0.0,0.015926477357476303,0.0
SAU,-0.0,0.015109834754958914,0.0,0.0,-0.0,0.0,-0.0,0.07407898800266294,0.0,0.009185813322368109,-0.0,-0.005195504616564879,-0.0,0.0,-0.0,0.015923621901491887,-0.0,0.46885432061302545,-0.0,0.013136736173121081,0.0
TCD,-0.0,0.01506604209206754,0.0,2.289612871407362e-05,-0.0,0.0,0.0,0.06573542988681984,0.0,0.008486093068843573,-0.0,-0.0,-0.0,0.0,-0.0,0.014085692787606949,-0.0,0.49158579533284713,-0.0,0.004817339736152935,0.0
TGO,-0.0,0.01352290439517738,0.0,0.0,-0.0,0.0,0.0,0.06958959659680558,0.0,0.009143265273159338,-0.0,-0.0016410383670816173,-0.0,0.0,-0.0,0.02306323304588359,-0.0,0.48870639443256403,-0.0,0.016254198769862716,0.0
TTO,-0.0,0.01264516154646769,0.0,0.0,-0.0,0.0,0.0,0.07017591423426449,0.0,0.010488291567693927,-0.0,-0.0019888595861747623,-0.0,0.0,-0.0,0.021549662594317433,-0.0,0.4853287776059807,-0.0,0.015619783143749646,0.0
TZA,-0.0,0.013479749952972384,0.0,0.0,-0.0,0.0,-0.0,0.06956104506064377,0.0,0.008638384450653309,-0.0,-0.0023309720546966944,-0.0,0.0,-0.0,0.02363403172678206,-0.0,0.48939205102018846,-0.0,0.016391320141670124,0.0
UGA,-0.0,0.011249373156365186,0.0,0.0,-0.0,0.0,-0.0,0.07009940371321029,-0.0,0.008965350065080695,-0.0,-0.0020157401573123557,-0.0,0.0,-0.0,0.02682178582472695,-0.0,0.4890904434400376,-0.0,0.01711266411478362,0.0
UZB,-0.0,0.014732509837773071,0.0,0.0,-0.0,0.0,0.0,0.0721466147624636,-0.0,0.009716551075427758,-0.0,-0.0014337803779880453,-0.0,0.0,-0.0,0.01964197177963669,-0.0,0.4892317695173678,-0.0,0.0166645544768018,0.0
VEN,-0.0,0.016397067475694242,0.0,0.00021281958786029337,-0.0,0.0,-0.0,0.07613316328851023,0.0,0.01019146573717498,-0.0,-0.0009438293568638563,-0.0,0.0,-0.0,0.017376854860947488,-0.0,0.4787160488788844,-0.0,0.018207358185850557,0.0
VNM,-0.0,0.013346844729266455,0.0,0.0,-0.0,0.0,-0.0,0.069984844219527,0.0,0.00901762911890532,-0.0,-0.002347944052166326,-0.0,0.0,-0.0,0.02196947309544288,-0.0,0.48918428623243937,-0.0,0.015812806947136895,0.0
YEM,-0.0,0.010953873684265805,0.0,0.0,-0.0,0.0,-0.0,0.06976922889381384,0.0,0.008991179102034145,-0.0,-0.005613274193265762,-0.0,0.0,-0.0,0.025300942404674887,-0.0,0.48829014134726717,-0.0,0.01650674951440255,0.0
ZMB,-0.0,0.008409756567540646,0.0,0.0,-0.0,0.0,-0.0,0.07002421197605953,-0.0,0.008292481779509277,-0.0,-0.00023544571198114448,-0.0,0.0,-0.0,0.027762228314773155,-0.0,0.48796602945723083,-0.0,0.015828044527434297,0.0
ZWE,-0.0,0.011667290654008261,0.0,0.0,-0.0,0.0,0.0,0.06903068516034797,-0.0,0.008252376577634161,-0.0,-0.0003815427978756757,-0.0,0.0,-0.0,0.0241992861390353,-0.0,0.4883296172337362,-0.0,0.015344215461506381,0.0
