Country Code,Country Name,Year,Last_Known_ECI,Ensemble,LASSO,Ridge,Elastic Net,Random Forest,XGBoost,LASSO (Δ),Ridge (Δ),Elastic Net (Δ),Random Forest (Δ),XGBoost (Δ)
MDG,Madagascar,2025,-1.494,-1.117720101790062,-1.0213772452180294,-0.9612294357748932,-1.0158485506362886,-1.383325226730476,-1.0988162,-1.1574966126747135,-1.0374892222577117,-1.1600269109639119,-1.1667669425966216,-1.1748247
MDG,Madagascar,2026,-1.494,-1.0921623492214498,-0.9862011231005955,-0.9265432614465848,-0.9847992074488562,-1.3881299856726814,-1.1028419,-1.1204931121046215,-0.996297188024651,-1.1232743072735332,-1.137765724013093,-1.1552777
MDG,Madagascar,2027,-1.494,-1.070652364253966,-0.9567543987543641,-0.8978070792642954,-0.9592286580117042,-1.3889089541766182,-1.1024823,-1.0871536344381965,-0.960815269485126,-1.0901271310222755,-1.1176139315106142,-1.1456323
MDG,Madagascar,2028,-1.494,-1.052256799296252,-0.9317193194475034,-0.8733865157478717,-0.937674413072983,-1.392441229661435,-1.0988165,-1.0569980080697687,-0.9300220573960459,-1.0601043330735906,-1.1068855486145972,-1.13452
MDG,Madagascar,2029,-1.494,-1.0356574611090663,-0.9100804028500267,-0.8520795496269619,-0.9190568269063599,-1.392441229661435,-1.0931923,-1.0296089880666053,-0.9030686269492934,-1.0327885116052171,-1.1008502957525228,-1.1234078
MDG,Madagascar,2030,-1.494,-1.0212436560889033,-0.8910551012672063,-0.8330021386970609,-0.9025788783419945,-1.3952891999411552,-1.0923488,-1.0046240096043066,-0.8792494104845869,-1.0078174909723199,-1.0953667907784008,-1.1111047
MLI,Mali,2020,-0.351,-0.4811700611404266,-0.46088099133220395,-0.5913145566420789,-0.49115335055659426,-0.5255480165285286,-0.57395244,-0.4136088278788699,-0.49471831474863515,-0.41527774029278597,-0.4004468643526854,-0.4447995
MLI,Mali,2021,-0.351,-0.5620512258134114,-0.5445921945655503,-0.7675262304932197,-0.5933354454777412,-0.5336275278670276,-0.6562345,-0.46779030145888084,-0.6142203251169902,-0.4707458273343052,-0.45050002933266675,-0.5219399
MLI,Mali,2022,-0.351,-0.617159281334277,-0.6081325055893698,-0.8965194986657772,-0.6674540113569813,-0.5431741136423293,-0.7018835,-0.5146488287504684,-0.713547320086291,-0.5185652849201414,-0.4879261010813802,-0.51974165
MLI,Mali,2023,-0.351,-0.6597715892502893,-0.6561247740687732,-0.9907122698411404,-0.720823176938071,-0.5576499544135296,-0.7300177,-0.555144084671064,-0.7960581399021499,-0.5597435225042274,-0.5123767492052276,-0.5190655
MLI,Mali,2024,-0.351,-0.6949423717007852,-0.6921314453971243,-1.059237456752892,-0.7588424129043368,-0.5846698847398826,-0.7500323,-0.590109978372399,-0.8645444205618833,-0.5951546598175573,-0.5363118085289149,-0.51838934
MLI,Mali,2025,-0.351,-0.7324101225549041,-0.7188977996722122,-1.108811979064344,-0.7854977420182299,-0.6393285063937177,-0.82645047,-0.6202711348922952,-0.9213263770717546,-0.6255571623491438,-0.5602468678526022,-0.5177132
MLI,Mali,2026,-0.351,-0.7615236888776754,-0.7385393957259996,-1.144375882857125,-0.8037317448389586,-0.6776130145560378,-0.88424677,-0.6462572168796743,-0.9683324118740827,-0.6516091434873772,-0.5835076890006139,-0.5170236
MLI,Mali,2027,-0.351,-0.7883022070064364,-0.7526865186339876,-1.1695623893861966,-0.8157167070917829,-0.7515305775629293,-0.92099524,-0.668615369452014,-1.0071652798728326,-0.6738816420445073,-0.6065342937227498,-0.51633406
MLI,Mali,2028,-0.351,-0.8092400542361855,-0.7625954933856999,-1.1870435985610297,-0.8230562638097016,-0.825611293227471,-0.9284777,-0.6878210341494675,-1.0391570802324783,-0.6928701430400587,-0.6301234407121119,-0.5156445
MLI,Mali,2029,-0.351,-0.8227462164252776,-0.7692344650638704,-1.1987847410750332,-0.8269342580245762,-0.8398068993754887,-0.9379411,-0.7042873457161496,-1.0654149617626127,-0.7090045741765039,-0.6531014668910299,-0.5229524
MLI,Mali,2030,-0.351,-0.8350116865595865,-0.7733495024875058,-1.2062311714468112,-0.8282246319335073,-0.8593750390781502,-0.9507066,-0.7183732974296355,-1.0868591100764937,-0.7226579796874115,-0.6777238530493992,-0.5266157
MMR,Myanmar,2020,-1.344,-1.2501654831338522,-1.195339326789103,-1.2727884375928493,-1.181642542368458,-1.274398447210679,-1.1888471,-1.259167516483253,-1.2806968809927681,-1.2588735255993964,-1.2872496839956191,-1.3026514
MMR,Myanmar,2021,-1.344,-1.1718577362518339,-1.07437400177856,-1.2169456804685022,-1.0542909703303618,-1.1836195001539185,-1.1114824,-1.1816099875849444,-1.225881599160452,-1.1810590250147286,-1.228011387417435,-1.2613028
MMR,Myanmar,2022,-1.344,-1.109788226551656,-0.9747499524688363,-1.1723878590774368,-0.9527717930540973,-1.1316504214222727,-1.0768411,-1.1103740277143859,-1.1780903473754967,-1.109587661009083,-1.1695590227079995,-1.2218701
MMR,Myanmar,2023,-1.344,-1.0615780664118517,-0.8915706241491212,-1.1361114383504176,-0.8703129127896284,-1.1107398213045128,-1.0790199,-1.0446311928279095,-1.1361065102672407,-1.043618782602263,-1.1224969875708326,-1.1811725
MMR,Myanmar,2024,-1.344,-1.023238021890499,-0.8210626497327604,-1.1059074292874933,-0.8019149995351201,-1.1070666853092275,-1.0816126,-0.9836616067912503,-1.0989189211783639,-0.982422964826297,-1.093737374506441,-1.156075
MMR,Myanmar,2025,-1.344,-0.9912263523263791,-0.7603182093317797,-1.080151202147568,-0.7438874242728334,-1.1050536678081628,-1.0797645,-0.9268397335134129,-1.0656871682305258,-0.9253672924804248,-1.074679022203021,-1.1505153
MMR,Myanmar,2026,-1.344,-0.9585282823268801,-0.7070964882290526,-1.0576479018201312,-0.6935056734096312,-1.1058486477969955,-1.0427291,-0.8736220136478479,-1.0357127591226376,-0.8719025909833766,-1.05436780596024,-1.1428498
MMR,Myanmar,2027,-1.344,-0.92586779663926,-0.6596706770656986,-1.0375187565463015,-0.6487584436463987,-1.1058486477969955,-0.97058856,-0.8235361215086765,-1.0084151553030034,-0.8215523467037048,-1.0476049649241772,-1.1351843
MMR,Myanmar,2028,-1.344,-0.8956364518641304,-0.6167100676224592,-1.0191174621864274,-0.6081609411574704,-1.1069192659036131,-0.9039142,-0.7761716298721613,-0.9833118532286627,-0.7739030932343691,-1.041175210700424,-1.1269808
MMR,Myanmar,2029,-1.344,-0.8706192160807955,-0.5771891938537073,-1.0019686859402572,-0.570617054428634,-1.1035494795725165,-0.87214863,-0.7311718981595212,-0.9600018292840625,-0.7285960696533967,-1.0360673341092792,-1.124882
MMR,Myanmar,2030,-1.344,-0.849163882975877,-0.540317814446197,-0.9857228381066997,-0.5353176068383128,-1.0988713139763862,-0.86278033,-0.6882270236764981,-0.9381517803410135,-0.6853199824749246,-1.0306452996106528,-1.1262848
MNG,Mongolia,2020,-1.332,-1.146324837645305,-1.1204280691130788,-1.0193155000845575,-1.0738434081425743,-1.1813303582242964,-1.0015593,-1.2116059968431194,-1.1268473326478612,-1.207687926797009,-1.2657199388287623,-1.2549106
MNG,Mongolia,2021,-1.332,-1.011494194474881,-0.9592619297092148,-0.7866739844430476,-0.8844992730252511,-1.1319620250637843,-0.79112357,-1.10866949744329,-0.9544413364185653,-1.1012487585275985,-1.2072177972645113,-1.1898438
