n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,coef__ECI_lag1,se__ECI_lag1,b
1156,0.7788295532368485,-4.2711780129660974,0.1596321225190553,2.8432659985452706,0.1333945912678898,0.14979880208727037,0.023745170941273746,0.03810075641143186,0.02822368760491099,0.9304621230397095,0.08436323675439548,-0.04328297213474211,0.00746898720673782,-0.012616775429216184,0.00861812421065106,0.001761361831221591,0.0004382662447338236,0.3576083903618017,0.031210851694072596,0.014343911974467258,0.010128599183497877,-0.015301028674286288,0.030364353788875795,0.01801017102618474,0.007219472437692695,0.15878074897770122,0.01713345690664028,130
1226,0.7582810016249945,-3.0158246613805737,0.17997472197060904,1.6650762118342883,0.13744297341395667,0.14264503303994303,0.022752981289348606,0.04316472245538194,0.023589568162976065,1.0008478830150564,0.08356939087400615,0.013477246610183772,0.006752367792527935,-0.16767991281269612,0.018274938535712496,0.0018583623812964722,0.00045568532781190853,0.12163955971383816,0.03857504311279328,0.015854815541183728,0.01206470714878583,-0.5965663099954315,0.06937197237452707,0.052147591751209005,0.008552620902870704,0.11277074874061677,0.016546037864244093,131
1079,0.6286828532855802,-1.0008139839556545,0.1955931565582509,0.9511583784185431,0.1103843815789185,-0.009442940630450564,0.04053126488185946,0.19189572541694247,0.025110215334253592,0.5126437590364521,0.08745281800181548,-0.03090015935392047,0.0054927506740700596,-0.10767303851116589,0.01275488536318411,-0.0016798845851590022,0.0006910035118378108,0.2571283983395669,0.028610599626951273,-0.017336958703918257,0.016647209359001363,-0.09660668140078596,0.04770912721864642,-0.007285222992195988,0.019603189164767897,0.21783652977310036,0.026144308429915403,132
1327,0.7458034844447028,-4.535015663527442,0.15903805460128298,3.3380787101705667,0.11340268568656117,0.14901920369577284,0.01819546557284552,0.00423625042834988,0.022969730242438976,0.5745929215085015,0.06843738509298516,-0.0511207147848203,0.006658754795195447,-0.07375729177213643,0.011554107138293282,-0.002422073451378781,0.0005158286040512288,0.05049295309006079,0.03647674933810849,-0.0011480158791997187,0.008378435948004961,-0.32230322839625225,0.04239830321868359,0.005481222253787216,0.007061339860506069,0.07406551049510511,0.015341257062510587,133
1161,0.7488237725338616,-3.7395377795364855,0.2434727302765599,2.385775596648277,0.14616476233347656,0.07437508527623313,0.04209927749763875,-0.06941683221121758,0.02911049549259989,1.3366403726615073,0.07901421660123718,-0.04046529391581366,0.007799312802932259,-0.057665538990051154,0.02344031866182975,0.0008799736936281799,0.0005251896589692872,-0.1920804997176677,0.0395697982840183,0.06570223938124897,0.01687288007954043,-0.05057169501321625,0.08485647758744065,-0.016527074324808183,0.01186642825976106,0.2791750120069956,0.018363988439241433,134
1311,0.7496643802077316,-3.5888475190537075,0.14298816637298747,2.3635769739699612,0.10358037376945137,0.140955938772718,0.023021807120508834,0.07257516110832234,0.025469625319584407,0.9269902123620425,0.07975682670744094,0.018978472823423548,0.006302317602316299,-0.03996807301379703,0.008966022194862746,-0.003369923446245676,0.0004658653199227378,0.09609201732648057,0.030708365659082696,0.08403541506140057,0.01299040237182839,-0.15628420232800594,0.029925955927473043,0.021565500931250006,0.006918539064045001,0.14900722555250528,0.015691257234813037,135
1238,0.6276170686251518,-3.767829890728744,0.19384883189315716,2.74083510682277,0.14635772732159444,0.07438180040502351,0.02401937789488186,-0.08004946274196426,0.029797844141350862,0.8523430359442947,0.08342714669758551,-0.008318718745763065,0.006901540706756754,-0.14337606739034361,0.018316869110780426,-0.0023638852103782556,0.0006223291005166571,0.2898675928613566,0.0399599634677633,0.05222116640025495,0.009578181916288033,-0.3390538043439929,0.07935820805503938,0.02078904431508509,0.013829944656015293,0.03386889511749941,0.020151915853388915,136
1229,0.6465274893564541,-4.031486655052792,0.18355532207929384,2.6349326370655133,0.13374801942850506,0.0533937293860247,0.028722459842105905,-0.20555578137409627,0.029491299570150047,1.1471219989279502,0.10012044854577773,-0.024007657142600974,0.0062413350371203595,-0.1037172540408794,0.01623137657769309,0.0010067898474852247,0.0005630041824311496,0.1226226471067674,0.032573944279786014,-0.01672756373695422,0.010723956459514124,-0.3230532486547643,0.07191980471033571,-0.0034950679023665887,0.013420069789551119,-0.1185655830633563,0.018579148701374084,137
1205,0.6991704120510918,-2.962635186803742,0.1844225535390201,1.7505303467075908,0.13033137555934785,0.09599316374695316,0.03206419258539,0.1481951318717021,0.029969390546624456,0.9006518619263646,0.0834734085941933,0.0021392375279457934,0.007551651456713057,-0.054561859046140776,0.009764132257804268,0.0017634180357202695,0.0005045170685902048,0.09023000267172954,0.042765026488895054,0.03235463915130721,0.012902640097689566,-0.15662083344621633,0.03168449087374544,0.003754354182529793,0.009734960246606464,0.2455319537908348,0.018891575568569977,138
1460,0.7176825863177747,-4.205012137622154,0.17271621606525903,2.519062160824122,0.12035990662290179,0.22052126409905237,0.03036839523718661,-0.0164973986312394,0.024446098711216956,1.0471294390191783,0.06811029759267422,-0.01739924325313562,0.006383420946917868,-0.08368575715786894,0.013051749002863523,-0.0011628761129454995,0.0005114076545618606,0.062425722918300675,0.03031418807520949,0.09059331586161581,0.011312477056300355,-0.2940867277218381,0.04661069564412647,-0.008239648873394796,0.006158526679678908,0.1463083174859402,0.015360945066614066,139
1398,0.5983770794870216,-3.004512200015014,0.18199558914504396,1.8463360437137695,0.1234663697269378,0.16145376303067727,0.03420746659349567,0.08391058841102846,0.026922549058701045,0.9179192963798407,0.08523771606354698,-0.020829277356549138,0.006900963850748336,-0.0662978752500021,0.010275036781361461,-0.002885226288522451,0.0005607376928354064,0.004062825456325471,0.03154995249400379,-0.016904088335882694,0.012507591688308296,-0.2519844398264808,0.038629123585784304,0.008969268340596899,0.009281260427574307,0.07710531380627296,0.018410618328106053,140
