n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
1224,330,37,0.5276008563666749,0.5490976508102473,0.5257333365756202,0.5501819449629676,0.5288919814348181,0.5483467616215396,0.7104406631823581,0.4298964130641619,151
821,220,30,0.8037267696999237,0.48863413860967175,0.8035325623821998,0.48887582430083876,0.8063441668552598,0.4853651188797831,0.8979743659619785,0.3522961701303963,152
924,250,36,0.6081010747226201,0.564301024221591,0.6108419283646352,0.5623242641749787,0.6084648574071461,0.5640390553960182,0.727166221872026,0.470839479363645,153
800,220,31,0.7354401154263335,0.49952663987994966,0.7417082433224065,0.4935736098380632,0.7368570121267806,0.4981871929492593,0.7383695649302788,0.4967533329807769,154
1117,300,34,0.7635585081939064,0.5175237310419184,0.7670497012323707,0.5136887559538683,0.7640376952648202,0.5169990421331732,0.7059945307499176,0.577093427903164,155
964,265,37,0.7669177458403418,0.4448455061206446,0.7698942168272404,0.44199603123750186,0.7697773958687759,0.4421082140941685,0.8273406646989802,0.38286849856653343,156
983,270,34,0.5776130078790462,0.5348539172766814,0.5555320380113083,0.5486560142793222,0.5753135956986866,0.5363077740427754,0.685617748566115,0.4614332898573179,157
958,260,34,0.7519949912327593,0.4788975418847662,0.7605909766042331,0.47052493068397616,0.7526358122481247,0.47827842917188196,0.7361727106978195,0.4939377732304106,158
1087,290,36,0.7011084218733353,0.5907802083898147,0.7021443894977154,0.5897554882856003,0.7013655160822104,0.5905260713431023,0.6862011455871164,0.6053335926521006,159
1011,275,34,0.6611730128454323,0.5350385278332895,0.6787630332812857,0.5209653245710223,0.6641794120707898,0.5326595504752778,0.7011029051521966,0.5025241138102896,160
791,210,30,0.6525786727535723,0.501111488796189,0.6696971022963971,0.4886099583573721,0.6567462164087878,0.498096842560016,0.7247997004409903,0.44599559917985576,161
917,250,35,0.6249433782156142,0.5740689543442091,0.6327287261372347,0.568079507005571,0.6321358681307504,0.5685378258339077,0.7650188232205795,0.4543935722307674,162
939,255,31,0.7239864720650885,0.554521197987821,0.7057715282740225,0.5725261354424465,0.7253535683205214,0.553146220302657,0.7376295334787771,0.5406428234481997,163
824,230,35,0.7887102412240562,0.5170711411821644,0.7779928462584818,0.5300228101860243,0.7907806179358156,0.5145315778511458,0.8212893500868423,0.4755391673646632,164
979,265,32,0.7132488298723372,0.48579414762337303,0.7222372648929801,0.4781197339227737,0.7137381885348888,0.4853794516953668,0.792261978458471,0.4134830153542855,165
933,260,36,0.656170563162403,0.5723986257629364,0.6653332797171008,0.5647201942758517,0.6573182020998977,0.5714425470282397,0.7345415789133821,0.5029505737673273,166
1283,350,38,0.610198839253199,0.5140980052401464,0.6036654730340095,0.5183884405001628,0.6108124813310503,0.5136931880470637,0.6686952755097539,0.473956156864193,167
890,240,34,0.7025106711092602,0.5021085141939934,0.7063713060273378,0.49883984596730324,0.7030413553205236,0.5016604645087633,0.7943009920024311,0.41752067731611187,168
1068,285,39,0.7001852107482583,0.535279724229218,0.7248053392222068,0.5128309989634441,0.7027017122595072,0.5330285498474856,0.8113560025374738,0.42459586711447167,169
