n_obs,r2,coef__const,se__const,coef__log_HCI,se__log_HCI,coef__log_GFCF,se__log_GFCF,coef__Political stability — estimate,se__Political stability — estimate,coef__Rule of law index,se__Rule of law index,coef__log_Production_Value,se__log_Production_Value,coef__Forestry rents (% of GDP),se__Forestry rents (% of GDP),coef__Trade (% of GDP),se__Trade (% of GDP),coef__log_HCI_x_log_Production,se__log_HCI_x_log_Production,coef__log_GFCF_x_log_Production,se__log_GFCF_x_log_Production,coef__log_HCI_x_forestry_rents,se__log_HCI_x_forestry_rents,coef__log_GFCF_x_forestry_rents,se__log_GFCF_x_forestry_rents,b
1516,0.7776635279630082,-3.0724018018955173,0.1296402081540499,2.3384506654283634,0.09133769133194328,0.17106777453227165,0.02009670060559638,0.11387378639350161,0.023118227885470372,0.8222593690711595,0.07434241390889655,-0.07311569814433026,0.006470029618730554,-0.057262776920848774,0.006266476412991393,-0.003525813117463694,0.0004937275940171377,-0.011542509607539428,0.02631830868026024,-0.03838995029405248,0.00877770095896194,-0.18081750382864664,0.022439863943791605,-0.005570311134141295,0.004521426667785585,21
1188,0.5218337055268367,-2.949016905802558,0.1949733512280221,1.6808795722575827,0.12385269741272101,0.165433918489576,0.03823601673109306,0.0008975671331451357,0.027044135871048605,0.8281311757397135,0.07978320376278629,-0.03540856008004611,0.007243724671650957,-0.051340319505659884,0.011665477434311641,0.0019995045798277215,0.000549238692979315,0.06247157822797418,0.042109834149040314,0.028988564124406677,0.014147133214893144,-0.07214112931048439,0.04117187543231433,0.04246936613403397,0.012976503112837469,22
1440,0.6944988126129463,-3.6550001274212534,0.13611079482371571,2.3251817952632896,0.09719147757560077,0.23644083312094985,0.018841759744160937,-0.044400107394398924,0.023036796188344554,0.6229645086877147,0.06458430340320277,-0.018742494070227676,0.005279000930542714,-0.0812621293519253,0.008020578532564392,-0.0019147591388103465,0.0005736935724747321,-0.10217009824486431,0.025823477789836475,-0.02100667251165384,0.009258585490416195,-0.31983896705685605,0.03200638263163148,0.011548524846027605,0.005208886910113112,23
1495,0.7041275879516975,-3.7283676418193523,0.12434700479597668,2.2315698520922336,0.0966951505738387,0.16828443252406294,0.02164674563654457,0.048849814605895873,0.019774109766890275,1.2268333980116313,0.059457269859214894,-0.011113753092616255,0.005298714766048353,-0.021785722381284928,0.00952769389380442,-0.0015301937387868017,0.00046079760660334144,0.05035027490350045,0.024121766794070604,-0.02021842896452303,0.01019053250752808,-0.0749641373520232,0.028753794634349527,0.0007185045238545448,0.005903544382873993,24
1324,0.6723583163858426,-2.8665471063441568,0.19951927938057998,1.8371571635608852,0.1512380769042123,0.051730127643812476,0.023742693857762443,0.07784408555327589,0.02887711987907914,0.9202707470843389,0.07944601952835122,0.01949552694029556,0.0063450586651245845,-0.14344928864691736,0.012688736176606659,-0.0016256341333586955,0.0005856521334058571,0.271541077180154,0.03659989702823123,0.018653662056348077,0.01146199150255833,-0.3955127041984093,0.03690867800178411,0.0408532291055885,0.008854160537330503,25
1357,0.656126017076654,-4.133354439931048,0.19983989581675216,2.306926963566834,0.13598710219214624,0.24837242581547944,0.025172392629367674,-0.0206254818876878,0.034115131888204704,1.006367090750573,0.111864608192264,-0.012190254548224918,0.007093746273146816,-0.11890018344463885,0.01611128456909202,0.001534280053779655,0.000683973922911978,0.2357635205534061,0.032272360867469305,-0.026310668536456496,0.014306211168840491,-0.6005047957815706,0.08352567521292971,0.05903290362512029,0.013837306704510992,26
1210,0.7492160271219824,-3.236681437775782,0.2120540501059381,1.9401764268888968,0.1353914030552529,0.10466189815252275,0.041777348511896364,-0.005441355343720436,0.02576772470966428,1.3737717431993657,0.08389768035334018,0.01632130875414515,0.005907989297481947,-0.1372888407407484,0.012965765264864652,-0.0035599492815107407,0.0005598519297930033,-0.1491377734591233,0.039437919157327445,-0.01870245920070053,0.013731197346616283,-0.504644111636456,0.0480904962462256,0.007986284089417588,0.0068818240885064426,27
1542,0.6054322716307132,-2.920160214418994,0.16707552807896592,2.0141705516752406,0.11754467331594785,0.14563646374717065,0.02538207743831759,0.03400493603151114,0.026738879733104386,0.9537836762053917,0.08002907762442925,-0.045165993740682586,0.006827268831810411,-0.10655832454956499,0.009498924572269009,-0.0030818515257313634,0.0005500833488575069,-0.023520245114754527,0.03685480538213679,0.036386365848622024,0.008816707577508836,-0.2585026909979368,0.03665640177912483,-0.016159176918725513,0.011367737266973921,28
1047,0.6210975954220642,-2.794608518680397,0.24685056062102928,1.7948890826451147,0.17143928610319858,0.07927525357940512,0.050482038155856924,0.08018305895614877,0.030522697141596406,1.2623748042791791,0.10331870209065987,-0.01969527487497687,0.007949687262155506,-0.13357584167613692,0.025889666365822454,-0.002900633987172747,0.0006837476692862342,0.23103138083103236,0.03798473747940721,-0.07223346052946797,0.013265441759434702,-0.2885788518567153,0.06075378506602142,0.021185019700921272,0.019620006203289183,29
1145,0.6545079419158097,-2.2622268241348085,0.2646531451973062,1.083726265635127,0.16601616541861705,0.019442761395604635,0.05045067328179166,-0.1517638745773131,0.03826862152186143,2.352905222977463,0.13001451927242688,-0.03336232118586213,0.009028812825386822,-0.06387661544784519,0.01660476147477166,-0.001667759890902799,0.0006375502042605776,0.062001007995465124,0.05050488367860018,-0.12962915180438386,0.026136248553811907,-0.18316054131052692,0.06945634862262537,0.0676773347776849,0.021955774546562012,30
1500,0.6547504914701727,-3.5068922517503816,0.18668562339464106,1.6960212932260825,0.13952168370521237,0.2289312175007175,0.02284068006696806,0.19027561133752283,0.030328823274631954,0.905697755254968,0.09224897922417931,0.014370424971034832,0.00608699053567795,-0.019088193846007254,0.009305904642598296,0.0011178055896998058,0.0004653845027397848,-0.07417258634031508,0.035981794963738455,-0.03185797688891827,0.012897415808349804,-0.11318371093796822,0.031118401623852286,0.0020886391495630115,0.006188909183949849,31
